timestamp,output[0],output[1],output[2],output[3]
0,1050.0,1050.0,1050.0,1050.0
101324,1050.0,1050.0,1050.0,1050.0
198771,1050.0,1050.0,1050.0,1050.0
303873,1050.0,1050.0,1050.0,1050.0
403826,1050.0,1050.0,1050.0,1050.0
502462,1050.0,1050.0,1050.0,1050.0
602498,1050.0,1050.0,1050.0,1050.0
702475,1050.0,1050.0,1050.0,1050.0
802477,1050.0,1050.0,1050.0,1050.0
902461,1050.0,1050.0,1050.0,1050.0
1002482,1050.0,1050.0,1050.0,1050.0
1102516,1050.0,1050.0,1050.0,1050.0
1202590,1050.0,1050.0,1050.0,1050.0
1302539,1050.0,1050.0,1050.0,1050.0
1402484,1104.0,1050.0,1104.0,1050.0
1502502,1155.0,1134.0,1239.0,1050.0
1602494,1139.0,1167.0,1256.0,1050.0
1702482,1176.0,1139.0,1266.0,1050.0
1802502,1191.0,1133.0,1273.0,1050.0
1902498,1162.0,1168.0,1281.0,1050.0
2002482,1215.0,1124.0,1288.0,1050.0
2102498,1253.0,1093.0,1296.0,1050.0
2202519,1207.0,1146.0,1303.0,1050.0
2302493,1226.0,1129.0,1305.0,1050.0
2402492,1260.0,1145.0,1355.0,1050.0
2502510,1253.0,1211.0,1386.0,1059.0
2602485,1249.0,1235.0,1410.0,1069.0
2702516,1307.0,1245.0,1440.0,1089.0
2802493,1362.0,1240.0,1552.0,1050.0
2902492,1411.0,1292.0,1480.0,1142.0
2999989,1415.0,1293.0,1499.0,1166.0
3102481,1332.0,1425.0,1487.0,1202.0
3202483,1494.0,1409.0,1459.0,1178.0
3302574,1462.0,1502.0,1287.0,1306.0
3402460,1542.0,1465.0,1301.0,1274.0
3502495,1308.0,1546.0,1335.0,1374.0
3602506,1488.0,1315.0,1381.0,1376.0
3702466,1273.0,1506.0,1454.0,1325.0
3802467,1413.0,1470.0,1318.0,1375.0
3902479,1426.0,1401.0,1367.0,1535.0
4002486,1397.0,1408.0,1521.0,1439.0
4102475,1457.0,1400.0,1416.0,1505.0
4202465,1278.0,1598.0,1528.0,1363.0
4302484,1426.0,1424.0,1461.0,1457.0
4402522,1222.0,1616.0,1480.0,1444.0
4502471,1380.0,1425.0,1505.0,1445.0
4602482,1516.0,1328.0,1439.0,1550.0
4702465,1513.0,1378.0,1560.0,1415.0
4802465,1429.0,1440.0,1455.0,1541.0
4902498,1367.0,1417.0,1572.0,1506.0
5002483,1395.0,1418.0,1531.0,1524.0
5102483,1383.0,1451.0,1553.0,1520.0
5202476,1367.0,1362.0,1606.0,1621.0
5302483,1375.0,1564.0,1512.0,1476.0
5402512,1394.0,1428.0,1495.0,1620.0
5502489,1453.0,1452.0,1483.0,1614.0
5595015,1344.0,1556.0,1648.0,1464.0
5702488,1502.0,1444.0,1515.0,1593.0
5800045,1504.0,1459.0,1637.0,1429.0
5902466,1249.0,1590.0,1444.0,1667.0
6002476,1508.0,1371.0,1632.0,1435.0
6102494,1289.0,1484.0,1560.0,1614.0
6202481,1430.0,1358.0,1526.0,1708.0
6302496,1423.0,1441.0,1496.0,1740.0
6402475,1294.0,1584.0,1683.0,1558.0
6502500,1459.0,1366.0,1544.0,1731.0
6602519,1442.0,1396.0,1565.0,1674.0
6702536,1386.0,1446.0,1732.0,1472.0
6802629,1341.0,1506.0,1405.0,1743.0
6902504,1523.0,1450.0,1596.0,1469.0
7002485,1445.0,1425.0,1585.0,1580.0
7102505,1359.0,1486.0,1566.0,1558.0
7199991,1415.0,1418.0,1615.0,1502.0
7302498,1441.0,1397.0,1686.0,1488.0
7402506,1400.0,1427.0,1681.0,1559.0
7502525,1282.0,1480.0,1631.0,1596.0
7602537,1420.0,1395.0,1696.0,1440.0
7702526,1391.0,1571.0,1664.0,1412.0
7802555,1435.0,1440.0,1586.0,1593.0
7902491,1379.0,1497.0,1687.0,1534.0
8002485,1355.0,1548.0,1548.0,1650.0
8102487,1413.0,1411.0,1600.0,1675.0
8202519,1274.0,1593.0,1685.0,1548.0
8302506,1420.0,1418.0,1573.0,1690.0
8402497,1444.0,1414.0,1535.0,1701.0
8502484,1459.0,1415.0,1588.0,1602.0
8602501,1360.0,1454.0,1704.0,1484.0
8702479,1333.0,1464.0,1747.0,1461.0
8802500,1322.0,1484.0,1529.0,1670.0
8902481,1553.0,1333.0,1614.0,1502.0
9002488,1468.0,1375.0,1521.0,1639.0
9102466,1491.0,1355.0,1601.0,1559.0
9202492,1443.0,1532.0,1531.0,1505.0
9300062,1423.0,1456.0,1528.0,1629.0
9402482,1416.0,1462.0,1683.0,1513.0
9502501,1359.0,1504.0,1520.0,1705.0
9602520,1455.0,1418.0,1641.0,1586.0
9702468,1462.0,1387.0,1531.0,1719.0
9802482,1421.0,1484.0,1681.0,1515.0
9902483,1421.0,1506.0,1599.0,1557.0
9999993,1486.0,1339.0,1622.0,1558.0
10102466,1517.0,1380.0,1596.0,1529.0
10202503,1498.0,1413.0,1633.0,1557.0
10302482,1494.0,1373.0,1629.0,1604.0
10402484,1431.0,1382.0,1501.0,1787.0
10502481,1457.0,1375.0,1618.0,1650.0
10602475,1398.0,1490.0,1689.0,1524.0
10702051,1387.0,1475.0,1572.0,1666.0
10802466,1305.0,1510.0,1577.0,1673.0
10902493,1395.0,1447.0,1574.0,1618.0
11002495,1512.0,1330.0,1630.0,1567.0
11102526,1498.0,1425.0,1649.0,1495.0
11202526,1397.0,1507.0,1546.0,1628.0
11302485,1491.0,1411.0,1647.0,1535.0
11399986,1435.0,1517.0,1575.0,1556.0
11502475,1583.0,1442.0,1511.0,1493.0
11602493,1436.0,1467.0,1591.0,1584.0
11702513,1333.0,1493.0,1610.0,1664.0
11802490,1411.0,1409.0,1533.0,1747.0
11902493,1401.0,1378.0,1539.0,1775.0
12002529,1361.0,1363.0,1678.0,1685.0
12102534,1458.0,1393.0,1665.0,1570.0
12202554,1481.0,1382.0,1631.0,1605.0
12302502,1288.0,1540.0,1451.0,1779.0
12402493,1417.0,1430.0,1627.0,1584.0
12502503,1514.0,1348.0,1527.0,1659.0
12602488,1514.0,1366.0,1631.0,1541.0
12702494,1463.0,1466.0,1685.0,1439.0
12802495,1352.0,1470.0,1688.0,1541.0
12902518,1385.0,1491.0,1534.0,1684.0
13002521,1249.0,1657.0,1471.0,1723.0
13102503,1380.0,1540.0,1571.0,1609.0
13202611,1410.0,1469.0,1600.0,1621.0
13302490,1330.0,1512.0,1613.0,1645.0
13402512,1419.0,1472.0,1677.0,1532.0
13502489,1398.0,1458.0,1664.0,1580.0
13602490,1333.0,1520.0,1574.0,1673.0
13702503,1318.0,1480.0,1520.0,1783.0
13802537,1413.0,1393.0,1633.0,1661.0
13902483,1430.0,1472.0,1694.0,1504.0
14002467,1407.0,1458.0,1594.0,1640.0
14102496,1256.0,1602.0,1514.0,1728.0
14202489,1444.0,1421.0,1599.0,1607.0
14302482,1317.0,1545.0,1554.0,1655.0
14402481,1522.0,1343.0,1520.0,1686.0
14502519,1434.0,1438.0,1615.0,1593.0
14602493,1459.0,1353.0,1530.0,1735.0
14702468,1419.0,1428.0,1638.0,1589.0
14802492,1311.0,1537.0,1576.0,1641.0
14902501,1458.0,1379.0,1575.0,1633.0
15002475,1457.0,1366.0,1657.0,1562.0
15102478,1432.0,1415.0,1572.0,1620.0
15202476,1402.0,1396.0,1508.0,1732.0
15302497,1316.0,1440.0,1514.0,1775.0
15402483,1373.0,1442.0,1545.0,1710.0
15502493,1322.0,1556.0,1566.0,1637.0
15599989,1396.0,1484.0,1589.0,1616.0
15702476,1538.0,1349.0,1582.0,1625.0
15802493,1334.0,1543.0,1712.0,1508.0
15902547,1429.0,1403.0,1601.0,1666.0
16002467,1313.0,1518.0,1565.0,1705.0
16102467,1437.0,1452.0,1725.0,1486.0
16202482,1373.0,1533.0,1543.0,1652.0
16302491,1429.0,1426.0,1620.0,1624.0
16402527,1399.0,1435.0,1533.0,1734.0
16502526,1452.0,1381.0,1729.0,1538.0
16602536,1369.0,1521.0,1673.0,1537.0
16702489,1316.0,1465.0,1536.0,1782.0
16802488,1548.0,1425.0,1706.0,1420.0
16902482,1536.0,1342.0,1631.0,1591.0
17002484,1456.0,1485.0,1734.0,1425.0
17102468,1394.0,1409.0,1514.0,1783.0
17202488,1293.0,1553.0,1505.0,1749.0
17302514,1433.0,1429.0,1635.0,1603.0
17402561,1326.0,1534.0,1648.0,1592.0
17502550,1461.0,1405.0,1654.0,1580.0
17602512,1487.0,1345.0,1555.0,1712.0
17702490,1329.0,1525.0,1629.0,1613.0
17802484,1491.0,1402.0,1608.0,1586.0
17902493,1352.0,1503.0,1627.0,1590.0
18002572,1442.0,1376.0,1587.0,1647.0
18102465,1289.0,1585.0,1483.0,1692.0
18202493,1435.0,1418.0,1550.0,1651.0
18302540,1427.0,1437.0,1593.0,1607.0
18402530,1422.0,1403.0,1674.0,1588.0
18502491,1401.0,1482.0,1676.0,1541.0
18602496,1451.0,1420.0,1676.0,1553.0
18702510,1322.0,1544.0,1637.0,1596.0
18802501,1369.0,1510.0,1544.0,1677.0
18902505,1345.0,1531.0,1573.0,1651.0
19002502,1515.0,1382.0,1665.0,1538.0
19102503,1387.0,1483.0,1684.0,1546.0
19202481,1347.0,1497.0,1546.0,1710.0
19302510,1327.0,1498.0,1501.0,1774.0
19402475,1434.0,1438.0,1627.0,1601.0
19502477,1375.0,1529.0,1633.0,1563.0
19602493,1444.0,1490.0,1728.0,1438.0
19702496,1409.0,1435.0,1692.0,1565.0
19799989,1451.0,1491.0,1675.0,1484.0
