timestamp,output[0]
0,1200.0
102513,1200.0
205058,1200.0
300027,1200.0
404994,1200.0
495060,1200.0
602495,1203.0
705000,1203.0
802503,1205.0
904997,1204.0
1000025,1205.0
1105011,1204.0
1200010,1204.0
1302520,1206.0
1404982,1213.0
1502492,1224.0
1604987,1227.0
1700027,1227.0
1804983,1228.0
1899996,1226.0
2002561,1227.0
2105023,1226.0
2202488,1227.0
2304991,1228.0
2399989,1226.0
2505057,1228.0
2599990,1227.0
2702502,1227.0
2807542,1226.0
2902507,1219.0
3004997,1217.0
3100024,1206.0
3204991,1204.0
3300013,1205.0
3402495,1204.0
3504987,1204.0
3602489,1204.0
3705000,1204.0
3800018,1204.0
3905017,1204.0
4000017,1204.0
4102566,1203.0
4205100,1203.0
4302489,1204.0
4405034,1204.0
4502506,1203.0
4604993,1204.0
4699998,1204.0
4802551,1220.0
4905006,1232.0
5002518,1233.0
5105000,1233.0
5199998,1232.0
5305008,1232.0
5399987,1235.0
5502528,1233.0
5602507,1232.0
5702515,1232.0
5804986,1233.0
5899992,1234.0
6005006,1234.0
6100044,1232.0
6204996,1232.0
6305083,1234.0
6402569,1235.0
6504993,1234.0
6600012,1232.0
6705009,1234.0
6800006,1232.0
6902500,1234.0
7005008,1233.0
7102517,1232.0
7205003,1231.0
7300002,1233.0
7405001,1233.0
7499998,1232.0
7602501,1233.0
7704984,1231.0
7802504,1231.0
7904986,1234.0
8000066,1233.0
8104981,1232.0
8200006,1233.0
8302526,1235.0
8405082,1243.0
8502498,1246.0
8607525,1246.0
8700041,1246.0
8807505,1248.0
8900018,1244.0
9002507,1246.0
9104993,1245.0
9202511,1245.0
9304988,1246.0
9400000,1245.0
