timestamp,output[0]
0,1200.0
105011,1200.0
205003,1200.0
300067,1200.0
404997,1200.0
500030,1201.0
602538,1205.0
699996,1204.0
802505,1204.0
902502,1204.0
999969,1202.0
1104998,1203.0
1200015,1204.0
1305010,1204.0
1399969,1205.0
1504985,1227.0
1602519,1276.0
1705028,1303.0
1802470,1316.0
1900051,1327.0
2002473,1338.0
2099984,1360.0
2202485,1395.0
2302557,1407.0
2399984,1446.0
2504999,1465.0
2600029,1487.0
2702500,1491.0
2799999,1494.0
2905011,1499.0
3004983,1484.0
3099952,1456.0
3204950,1447.0
3300005,1421.0
3402470,1406.0
3500018,1391.0
3602483,1375.0
3702521,1342.0
3799969,1318.0
3902521,1285.0
3999970,1259.0
4102478,1250.0
4200004,1234.0
4305072,1231.0
4404986,1238.0
4499992,1261.0
4602138,1284.0
4700087,1311.0
4802492,1343.0
4899997,1347.0
5002486,1335.0
5102475,1307.0
5199971,1251.0
5302504,1223.0
5399991,1230.0
5504999,1261.0
5597482,1287.0
5705038,1316.0
5804988,1334.0
5899653,1334.0
6005083,1334.0
6099985,1328.0
6205054,1323.0
6300093,1321.0
6402499,1318.0
6505010,1317.0
6600048,1319.0
6702629,1319.0
6800033,1315.0
6902505,1314.0
7000002,1313.0
7102476,1311.0
7204996,1312.0
7300007,1312.0
7402473,1310.0
7500014,1312.0
7602472,1310.0
7700022,1307.0
7802482,1308.0
7902562,1307.0
8002498,1305.0
8102479,1306.0
8200025,1304.0
8305071,1304.0
8399986,1302.0
8505011,1302.0
8605018,1309.0
8700005,1314.0
8804990,1316.0
8900049,1321.0
9005033,1325.0
9099971,1326.0
9202505,1326.0
9302495,1325.0
9399992,1324.0
9502469,1325.0
9599985,1320.0
9704993,1322.0
9799978,1319.0
9905029,1319.0
10004639,1318.0
10099969,1318.0
10202573,1317.0
10299985,1316.0
10402480,1315.0
10499981,1315.0
10605018,1314.0
10704986,1317.0
10799991,1316.0
10904982,1321.0
11000034,1325.0
11105040,1326.0
11199996,1328.0
11304980,1326.0
11404992,1324.0
11500014,1320.0
11604971,1311.0
11700009,1300.0
11804996,1292.0
11900041,1286.0
12004997,1278.0
12104981,1276.0
12200033,1275.0
12304988,1275.0
12399986,1272.0
12504993,1272.0
12600028,1274.0
12704988,1272.0
12804994,1270.0
12899990,1256.0
13002476,1244.0
13100039,1235.0
13202480,1231.0
13299970,1230.0
13402479,1229.0
13502485,1251.0
13599990,1272.0
13702470,1298.0
13800015,1326.0
13902536,1347.0
13999971,1378.0
14102477,1388.0
14202127,1403.0
14299984,1400.0
14405001,1380.0
14499994,1377.0
14604996,1373.0
14699987,1376.0
14802486,1381.0
14904969,1373.0
15000000,1338.0
15102469,1310.0
15200027,1282.0
15302476,1253.0
15399980,1240.0
15502471,1230.0
15602475,1216.0
15702518,1204.0
15800008,1202.0
15899984,1200.0
16002478,1200.0
16100051,1200.0
16202564,1200.0
16304987,1200.0
16399996,1200.0
16502513,1200.0
16599994,1212.0
16702481,1234.0
16800006,1251.0
16904557,1258.0
17004985,1271.0
17099970,1285.0
17205026,1308.0
17300058,1332.0
17405035,1336.0
17499970,1341.0
17604990,1354.0
17702469,1357.0
17799550,1371.0
17902470,1392.0
17999991,1386.0
18105001,1357.0
18200048,1325.0
18304988,1271.0
18404991,1243.0
18500014,1201.0
18602488,1200.0
18699990,1200.0
18802496,1200.0
18899967,1200.0
19004983,1200.0
19104970,1200.0
19199988,1200.0
19305015,1200.0
19400063,1200.0
19502476,1200.0
19600000,1216.0
19704979,1248.0
19805039,1261.0
19899951,1238.0
20004971,1200.0
20100038,1200.0
20205003,1200.0
20299985,1200.0
20404988,1244.0
20505022,1264.0
20600001,1243.0
20702490,1201.0
20799996,1200.0
20902493,1200.0
20999996,1200.0
21102526,1200.0
21204950,1200.0
21299980,1200.0
21402503,1200.0
21500021,1200.0
21602480,1200.0
21699980,1200.0
21802541,1200.0
21904985,1200.0
21999948,1200.0
